process_nm,tmus,texture_rate,rops,pixel_rate,direct_x,shader,open_gl,memory_mb,memory_speed_mhz,memory_type,memory_bandwidth_gbs,boost_clock_mhz,psu_w,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name
21.0,124.0,152.5,44.0,53.5,12.0,5.0,4.45,4096.0,1751.5,5.0,224.2,1222.0,475.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,3072.0,3072.0,2020-06-09,1971 Project Helios
40.0,4.0,2.0,,1.0,9.5,3.5,2.05,640.0,525.0,2.5,24.0,,375.0,2048.0,4096.0,,,Windows 7 64-bit,Windows 10 64-bit,,,5120.0,5120.0,2015-04-05,1979 Revolution: Black Friday
27.5,12.0,8.0,8.0,5.0,10.5,4.5,3.5999999999999996,256.0,450.0,3.0,28.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2015-01-01,20000 Leagues Above The Clouds
40.0,8.0,6.0,,3.0,11.05,5.0,4.25,768.0,899.0,4.0,21.6,,300.0,1024.0,1024.0,,,Windows XP 32-bit,Windows 10 64-bit,9.0,9.0,1024.0,1024.0,2017-08-16,20XX
40.0,4.0,2.0,,1.0,9.5,3.0,2.05,128.0,400.0,2.5,25.6,,,,,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,3584.0,3584.0,2006-01-17,25 To Life
28.0,96.0,165.5,32.0,51.0,11.6,5.0,4.4,4096.0,1626.5,5.0,344.1,1089.0,575.0,8192.0,8192.0,2048.0,4096.0,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,1024.0,1024.0,2020-08-06,3 out of 10
,,,,,9.0,2.5,1.75,128.0,437.5,1.5,10.8,,,,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2012-01-24,3079
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2014-01-10,3089
40.0,8.0,6.0,,3.0,11.05,5.0,4.25,768.0,899.0,4.0,21.6,,300.0,2048.0,2048.0,,,Windows Vista 32-bit,Windows 10 64-bit,9.0,9.0,2048.0,2048.0,2021-02-17,30XX
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2002-04-20,3D SexVilla 2: Everlust
34.0,28.0,24.0,8.0,10.0,11.0,5.0,4.2,1536.0,945.5,4.0,46.25,,375.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,,,2020-06-19,3dSen
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-01-09,4089: Ghost Within
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2014-07-09,4PM
,,,,,7.55,0.7,1.2999999999999998,64.0,358.0,,5.050000000000001,,,,,,,Windows 95,,8.0,8.0,1536.0,1536.0,2002-05-27,4x4 Evo 2
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,2048.0,4096.0,,,Windows 7 32-bit,Windows 7 32-bit,9.0,9.0,,,2016-02-03,5089: The Action RPG
60.0,40.0,25.0,6.0,6.5,10.05,4.05,2.55,448.0,902.0,3.0,35.25,,400.0,,,,,Windows 7 32-bit,Windows 7 32-bit,,,,,2020-07-22,5D Chess With Multiverse Time Travel
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2013-03-09,6180 the moon
