target,model,feature_set,num_features,test_mae,test_rmse,test_r2
psu_w,Gradient Boosting,Full,28,26.36137248234148,49.44593017980647,0.9090765551788408
psu_w,Gradient Boosting,Clocks-only,3,30.209421824702456,57.4842059652945,0.8771113275791778
psu_w,Gradient Boosting,Minimal,3,31.835880180069356,57.90105212163009,0.8753226135796617
psu_w,Gradient Boosting,Core-only,3,33.08506912378853,58.94025686735402,0.8708070463347123
psu_w,Gradient Boosting,Memory-only,2,46.28699313333367,80.2901777165484,0.760260487795959
psu_w,XGBoost,Full,28,28.0831444977708,46.81938652934586,0.9184796160090357
psu_w,XGBoost,Core-only,3,35.84822533201065,60.30298223284196,0.8647639866526615
psu_w,XGBoost,Clocks-only,3,36.06407526072571,60.63412574139521,0.8632746577977815
psu_w,XGBoost,Minimal,3,36.1756724426012,57.59833836423616,0.8766228628838788
psu_w,XGBoost,Memory-only,2,52.62506245158393,82.04339403822465,0.7496762734009093
tdp_w,Gradient Boosting,Full,28,15.86694154147116,26.45660366742081,0.9154707145577893
tdp_w,Gradient Boosting,Clocks-only,3,18.77840921177911,31.26489421594738,0.8819535470246405
tdp_w,Gradient Boosting,Minimal,3,19.78744354529852,33.203844809933784,0.8668577887255011
tdp_w,Gradient Boosting,Core-only,3,21.767160919389973,35.94163298697841,0.8439963983028508
tdp_w,Gradient Boosting,Memory-only,2,25.883154094967878,42.39500329798689,0.782945716142759
tdp_w,XGBoost,Full,28,15.555178380716702,24.79671242771394,0.9257447395373432
tdp_w,XGBoost,Clocks-only,3,19.683703068439467,30.974023946695013,0.8841397998460089
tdp_w,XGBoost,Core-only,3,21.952319660267246,35.123912915551486,0.851014227100861
tdp_w,XGBoost,Minimal,3,22.33049397126532,35.91257530460759,0.8442485443682596
tdp_w,XGBoost,Memory-only,2,30.607478870118218,46.99765715001503,0.7332579820557064
