method,avg_tdp,avg_psu,avg_score,avg_score_per_watt,unique_gpus,top1_share,avg_overlap_rate
Proxy perf_score,40.797696105320895,216.3858795026513,0.2359064126643437,0.006399273421616153,23,0.7113274821722435,0.5261930883159627
PassMark G3D,52.32246297312123,253.98073230938013,14260.3095703125,314.3161996473586,21,0.7113274821722435,0.5261930883159627
