method,avg_ppw,unique_gpus,top1_share
KNN50-Feasible,0.0007074031303691675,1178,0.13845099383139137
KNN50-Feasible-PPW-Top5,0.0017043634523669635,277,0.16860863605209048
Power-Top5,0.011099754355411039,22,0.7155586017820424
UtilityFormula-Top5,0.0072563262839165955,39,0.9862919808087731
ML-Utility-Top5,0.01063168739365695,22,0.997943797121316
LTR-Utility-Top5,0.0069632466002662215,41,0.934201507882111
