process_nm,tmus,texture_rate,rops,pixel_rate,direct_x,shader,open_gl,memory_mb,memory_speed_mhz,memory_type,memory_bandwidth_gbs,boost_clock_mhz,psu_w,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name,hard_filter_count,soft_filter_count,norm_texture_rate,norm_pixel_rate,norm_memory_bandwidth_gbs,norm_tmus,norm_rops,norm_memory_speed_mhz,norm_boost_clock_mhz,perf_feature_count,perf_score
28.0,80.0,78.5,28.0,27.5,11.15,5.0,4.3,2048.0,1451.0,5.0,161.7,979.0,475.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,51200.0,51200.0,2021-01-01,1666 Amsterdam,2,5,0.12351543942992874,0.12,0.23723325974981602,0.24882629107981222,0.20754716981132076,0.7130570758405004,0.36514285714285716,7,0.24104431525190087
,,,,,9.0,2.0,1.75,128.0,300.0,,4.800000000000001,,,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2009-09-23,18 Wheels of Steel: Extreme Trucker,2,1,,,0.006328182487122885,,,0.11310919989575188,,2,0.026753983963379715
,,,,,9.0,2.5,2.0,192.0,412.5,,10.0,,175.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,1024.0,2011-01-06,18 Wheels of Steel: Extreme Trucker 2,2,1,,,0.013980868285504048,,,0.17174876205368778,,2,0.049002008330995835
,,,,,9.0,2.5,1.75,192.0,727.5,3.0,38.95,,,,1024.0,64.0,128.0,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2007-12-03,18 wheels of steel american long haul,2,1,,,0.05658572479764533,,,0.33593953609590826,,2,0.1378745159127375
,,,,,9.0,3.0,1.75,128.0,133.0,1.0,1.05,,,,,,,Windows 98,Windows XP 32-bit,8.0,8.0,,,2004-08-30,18 wheels of steel: Pedal to the metal,2,1,,,0.0008094186902133923,,,0.026062027625749284,,2,0.004592939392713475
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2014-05-08,1849,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
32.5,2.0,1.0,,1.0,9.5,3.5,2.55,256.0,400.0,2.0,6.4,,300.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2012-09-14,1931: Scheherazade at the Library of Pergamum,2,4,0.000791765637371338,0.0022222222222222222,0.008682855040470935,0.004694835680751174,,0.16523325514725046,,5,0.0065275905992496054
72.5,30.0,16.5,12.0,7.0,10.0,4.0,2.6,320.0,800.0,3.0,44.8,,500.0,1536.0,3072.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2012-07-06,1953: KGB Unleashed,2,5,0.025336500395882817,0.028888888888888888,0.06519499632082414,0.09233176838810642,0.05660377358490566,0.3737294761532447,,6,0.06733501125217184
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,3072.0,3072.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,6144.0,6144.0,2014-03-11,1954 Alcatraz,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
34.0,72.0,64.5,40.0,34.5,11.55,5.0,4.35,1792.0,1101.0,5.0,173.0,,550.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,3072.0,3072.0,2020-06-09,1971 Project Helios,2,5,0.10134600158353127,0.1511111111111111,0.25386313465783666,0.2237871674491393,0.32075471698113206,0.5306228824602555,,6,0.23001146122483368
120.0,6.0,2.5,,2.0,9.0,2.5,2.0,64.0,550.0,2.0,25.6,,200.0,2048.0,4096.0,,,Windows 7 64-bit,Windows 10 64-bit,,,5120.0,5120.0,2015-04-05,1979 Revolution: Black Friday,2,4,0.003167062549485352,0.006666666666666667,0.036938925680647536,0.017214397496087636,,0.2434193380244983,,5,0.02008442067451369
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2015-01-01,20000 Leagues Above The Clouds,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
67.5,6.0,3.0,,2.0,10.0,4.0,2.1,256.0,600.0,2.0,8.0,,150.0,1024.0,1024.0,,,Windows XP 32-bit,Windows 10 64-bit,9.0,9.0,1024.0,1024.0,2017-08-16,20XX,2,4,0.00395882818685669,0.006666666666666667,0.011037527593818985,0.017214397496087636,,0.2694813656502476,,5,0.0168326910631051
,,,,,9.0,2.0,1.75,128.0,235.0,,3.75,,,,,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,3584.0,3584.0,2006-01-17,25 To Life,2,1,,,0.004782928623988227,,,0.07922856398227782,,2,0.01946649856826644
28.0,80.0,81.5,28.0,28.5,11.1,5.0,4.25,2048.0,1351.0,5.0,148.89999999999998,516.5,475.0,8192.0,8192.0,2048.0,4096.0,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,1024.0,1024.0,2020-08-06,3 out of 10,2,5,0.12826603325415678,0.12444444444444444,0.21839587932303162,0.24882629107981222,0.20754716981132076,0.6609330205890018,0.10085714285714285,7,0.19816631337786958
32.5,2.0,1.0,,1.0,9.5,3.5,2.55,128.0,367.0,2.0,5.85,,150.0,,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2012-01-24,3079,2,4,0.000791765637371338,0.0022222222222222222,0.007873436350257541,0.004694835680751174,,0.14803231691425592,,5,0.006261884862110685
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2014-01-10,3089,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
67.5,6.0,3.0,,2.0,10.0,4.0,2.1,256.0,600.0,2.0,8.0,,150.0,2048.0,2048.0,,,Windows Vista 32-bit,Windows 10 64-bit,9.0,9.0,2048.0,2048.0,2021-02-17,30XX,2,4,0.00395882818685669,0.006666666666666667,0.011037527593818985,0.017214397496087636,,0.2694813656502476,,5,0.0168326910631051
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2002-04-20,3D SexVilla 2: Everlust,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
34.0,28.0,22.5,8.0,9.5,11.0,5.0,4.2,1536.0,845.5,4.0,39.85,,375.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,,,2020-06-19,3dSen,2,5,0.03483768804433888,0.04,0.05791022810890361,0.08607198748043818,0.018867924528301886,0.3974459212926766,,6,0.06111128744360823
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-01-09,4089: Ghost Within,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2014-07-09,4PM,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
,,,,,7.0,0.5,1.2999999999999998,48.0,266.0,,2.1,,,,,,,Windows 95,,8.0,8.0,1536.0,1536.0,2002-05-27,4x4 Evo 2,2,1,,,0.00235467255334805,,,0.09538702111024237,,2,0.014986834240556572
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,2048.0,4096.0,,,Windows 7 32-bit,Windows 7 32-bit,9.0,9.0,,,2016-02-03,5089: The Action RPG,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
60.0,40.0,25.0,6.0,6.5,10.05,4.05,2.55,448.0,800.0,3.0,32.0,,400.0,,,,,Windows 7 32-bit,Windows 7 32-bit,,,,,2020-07-22,5D Chess With Multiverse Time Travel,2,5,0.038796516231195566,0.02666666666666667,0.046357615894039736,0.12363067292644757,1e-06,0.3737294761532447,,6,0.01141811352346302
