split,game_name,label_0,label_1,label_2,label_3
train,Agents: Biohunters,125,22,105,4
train,Aima Wars: Steampunk And Orcs,169,29,147,9
train,Aion: Ascension,274,48,239,12
train,Aion: Dark Betrayal,274,48,239,12
train,Aion: Upheaval,274,48,239,12
train,Air Buccaneers HD,299,50,254,20
train,Air Conflicts Pacific Carriers,298,50,251,23
train,Air Conflicts: Vietnam,223,38,191,12
train,Air Wars,456,59,454,24
train,Airborne Troops: Countdown to D-Day,380,62,332,30
train,Airline Tycoon 2,287,49,247,17
train,Airline Tycoon 2 Honey Airlines,287,49,247,17
train,Airline Tycoon 2: Falcon Lines,287,49,247,17
train,Airplane Mode,89,17,71,5
train,Airport Contraband,126,23,102,6
train,Akane,263,44,226,14
train,Akaneiro: Demon Hunters,499,57,520,25
train,Akibas Trip: Undead And Undressed,149,30,135,9
train,Alan Wake,209,37,179,12
train,Alan Wake 2,68,14,61,1
train,Alan Wake Remastered,124,23,102,4
train,Alan Wakes American Nightmare,209,37,179,12
train,Alarm for Cobra 11-Burning Wheels,345,54,296,27
train,Alarm for Cobra 11-Crash Time,345,54,296,27
train,Alarm for Cobra 11-Nitro,345,54,296,27
train,Albion Online,345,54,296,27
train,Alchemy Garden,188,33,155,13
train,Alder's Blood,188,33,155,13
train,Alders Blood: Prologue,188,33,155,13
train,Alekhines Gun,319,55,270,23
train,Alien Breed Impact,328,56,277,23
train,Alien Shooter 2 - The Legend,304,51,253,25
train,Alien Spidy,380,62,332,30
train,Alien: Blackout,124,23,102,4
train,Alien: Isolation,190,33,155,11
train,Alien: Isolation - Safe Haven,191,34,155,11
train,Aliens: Colonial Marines,209,35,178,10
train,All Zombies Must Die!,313,52,264,22
train,Alliance of Valiant Arms,370,57,330,24
train,Almighty: Kill Your Gods,124,23,102,4
train,Alone in the Dark: Illumination,182,33,147,12
train,Alpha Protocol,280,47,240,15
train,Alphadia,345,54,296,27
train,Alwas Legacy,414,63,376,27
train,Always Remember Me,345,54,296,27
train,Ambrosia,414,63,376,27
train,American Fugitive,244,41,211,14
train,American Truck Simulator - New Mexico,153,29,130,9
train,American Truck Simulator - Utah,153,29,130,9
train,American Truck Simulator 2015,153,29,130,9
train,Amnesia: A Machine for Pigs,214,37,179,12
train,Amnesia: Rebirth,137,24,114,5
train,Amnesia: The Dark Descent,460,69,432,22
train,Among Ripples,345,54,296,27
train,Among The Sleep,357,57,310,24
train,Among Us,302,51,252,25
train,Ampersat,94,18,73,10
train,Anachronox,540,21,714,22
train,Anamnesis,345,54,296,27
train,Anastasiya,345,54,296,27
train,Ancestors Legacy,156,27,130,10
train,Ancestors: The Humankind Odyssey,121,22,100,4
train,Ancestory,264,44,234,11
train,Ancient Abyss,264,44,236,10
train,Ancient Cities,125,22,105,4
train,Ancient Space,188,33,155,13
train,Ancient Wars: Sparta,331,52,285,24
train,Andromedum,83,15,69,6
train,Angels That Kill,345,54,296,27
train,Angry Arrows,300,49,255,22
train,Angry Birds Space,374,56,331,30
train,Angry Birds VR: Isle of Pigs,125,22,105,4
train,Angry Video Game Nerd Adventures,380,62,332,30
train,Angvik,274,44,240,11
train,AnimalAlbum,345,54,296,27
train,Anna,421,57,401,28
train,Anno 1404,267,45,233,12
train,Anno 1800,126,23,102,6
train,Anno 2070,236,39,204,11
train,Anno 2070: Deep Ocean,236,39,204,11
train,Anno 2070: Financial Crisis,276,46,240,11
train,Anno 2070: The Development,236,39,204,11
train,Anno 2070: The Eden,276,46,240,11
train,Anno 2205,135,26,125,9
train,Anno Online,380,62,332,30
train,Anodyne,523,52,569,32
train,Anomaly 2,274,46,240,13
train,Anomaly: Warzone Earth,355,58,303,28
train,Another Perspective,345,54,296,27
train,Another Try,125,22,105,4
train,Another World - 20th Anniversary Edition,380,62,332,30
train,Anoxemia,345,54,296,27
train,Anthem,125,22,105,4
train,Anthology of Fear,112,21,93,3
train,Antihero,278,44,241,17
train,Antisquad,345,54,296,27
train,Aperture Desk Job,87,15,67,7
train,Aporia: Beyond The Valley,169,29,147,9
train,Apostle,302,51,252,25
train,Apotheon,288,48,246,19
train,Apox,350,57,301,23
train,Aqua Kitty: Milk Mine Defender,345,54,296,27
train,Aquanox Deep Descent,124,23,102,4
train,Aragami,235,38,200,13
train,Arcade Tycoon,220,35,190,11
train,Arcadecraft,345,54,296,27
train,Arcadegeddon,114,21,99,7
train,Arcane Saga Online,527,45,613,21
train,Arcania: A Gothic Tale,213,38,182,13
train,Arcanium: Rise Of Akhan,414,63,376,27
train,ArcheAge,257,43,218,16
train,Archeblade,253,44,226,14
train,Archlord 2,212,37,177,12
train,Arctic Combat,293,49,249,19
train,Argo,232,39,202,11
train,Arid,122,23,99,6
train,Arise: A Simple Story,124,23,102,4
train,Arkham Horror: Mothers Embrace,156,27,134,4
train,ArmA Armed Assault,349,58,295,28
train,ArmA II,274,48,239,12
train,ArmA II: Free,273,46,236,12
train,ArmA III,232,39,202,11
train,ArmA III - Survive,231,37,200,13
train,ArmA III: Laws of War,232,39,202,11
train,ArmA III: Zeus,231,37,200,13
train,Arma 2: Army of the Czech Republic,235,38,198,15
train,Arma 4,81,15,63,7
train,Arma II: British Armed Forces,274,48,239,12
train,Arma II: DayZ Mod,234,40,196,15
train,Arma II: Operation Arrowhead,274,48,239,12
train,Arma II: Private Military Company,274,48,239,12
train,Arma III Apex,231,40,201,11
train,Arma III Contact,231,40,201,11
train,Arma III Tanks,195,30,166,14
train,Arma III: Helicopters DLC,231,37,200,13
train,Arma III: Jets,232,39,202,11
train,Arma III: Karts,232,39,202,11
train,Arma III: Malden,232,39,202,11
train,Arma III: Tac-Ops Mission Pack,232,39,202,11
train,Arma Reforger,81,15,63,7
train,Armello,222,38,186,14
train,Armikrog,345,54,296,27
train,Armor of Heroes,82,15,65,5
train,Arms Dealer,322,55,265,28
train,Army Men III,380,62,332,30
train,Army Rage,349,60,294,26
train,Arons Adventure,88,16,69,7
train,Arson and Plunder: Unleashed,324,53,278,19
train,Art of Rally,114,21,99,7
train,Artemis Spaceship Bridge Simulator,532,42,625,26
train,Arthurs Knights,536,28,687,22
train,Arthurs Revenge,377,63,322,26
train,Artifact,259,43,225,12
train,Artificer: Science of Magic,309,51,257,27
train,Arx Fatalis,532,34,657,25
train,Ary and the Secret of Seasons,124,23,103,6
train,Ascend: Hand of Kul,231,40,201,11
train,Ascendant,234,38,201,11
train,Ascent,345,54,296,27
train,Asemblance,174,32,142,10
train,Asgard's Wrath,68,13,62,2
train,Ashes Cricket 2009,331,52,285,24
train,Ashes Cricket 2013,206,35,182,13
train,Ashes Cricket 2017,108,22,97,7
train,Ashes of Creation,173,33,150,10
train,Ashes of the Singularity,114,21,99,7
train,Ashes of the Singularity: Escalation,114,21,99,7
train,Ashland,126,23,102,6
train,Assassins Creed 2,293,49,249,19
train,Assassins Creed 3,235,38,198,15
train,Assassins Creed 3: Remastered,117,22,99,10
train,Assassins Creed 3: The Tyranny of King Washington,235,38,198,15
train,Assassins Creed 4 Black Flag,207,36,179,11
train,Assassins Creed 4 Black Flag: Freedom Cry,207,36,179,11
train,Assassins Creed Chronicles: China,207,33,175,11
train,Assassins Creed Chronicles: Russia,208,34,175,11
train,Assassins Creed Infinity,130,23,107,5
train,Assassins Creed Liberation HD,191,34,160,12
train,Assassins Creed: Odyssey,117,22,99,10
train,Assassins Creed: Odyssey - Fate of Atlantis,117,22,99,10
train,Assassins Creed: Odyssey - Legacy of the First Blade,117,22,99,10
train,Assassins Creed: Revelations - Mediterranean Traveller,272,47,239,11
train,Assassins Creed: Revelations The Lost Archive,272,47,239,11
train,Assassins Creed: Syndicate,144,26,117,9
train,Assassins Creed: Syndicate - Jack the Ripper,93,19,81,7
train,Assassins Creed: Unity - Dead Kings,93,19,81,7
train,Assassins Creed: Valhalla - The Siege of Paris,130,23,107,5
train,Assault Squad 2: Men of War Origins,219,36,188,11
train,AssaultCube,465,60,463,25
train,Assemble with Care,295,49,254,17
train,Assetto Corsa,117,22,99,10
train,Assetto Corsa Competizione,117,22,99,10
train,Astaria,126,23,102,6
train,Asterix & Obelix XXL 3 - The Crystal Menhir,114,21,99,7
train,Astra Exodus,196,29,167,14
train,Astray,345,54,296,27
train,Astro Emporia,345,54,296,27
train,Astroflux,345,57,295,24
train,Astroneer,103,20,84,8
train,Asylum,322,54,270,24
train,At The Gates,269,45,239,10
train,Atajrubah,345,54,296,27
train,Atarjrubah,345,54,296,27
train,Atelier Escha & Logy: Alchemists of the Dusk Sky DX,169,29,147,9
train,Atelier Firis: The Alchemist and the Mysterious Journey,192,34,164,13
train,Atelier Firis: The Alchemist and the Mysterious Journey DX,111,21,91,5
train,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings DX,111,21,91,5
train,Atelier Ryza - Ever Darkness and the Secret Hideout,124,23,102,4
train,Atelier Ryza 2: Lost Legends And the Secret Fairy,96,18,74,7
train,Atelier Shallie: Alchemists of the Dusk Sea DX,169,29,147,9
train,Atelier Sophie: The Alchemist of the Mysterious Book DX,156,28,132,5
train,Atlantica Global,368,62,315,29
train,Atmospug The Cloud Jumping Dog,345,54,296,27
train,Atom RPG Trudograd,128,25,104,6
train,Attack on Titan - Episode 1,149,30,135,9
train,Attack on Titan - Episode 2,149,30,135,9
train,Attack on Titan / A.O.T. Wings of Freedom,149,30,135,9
train,Attractio,316,54,267,21
train,Audio Trip,125,22,105,4
train,Audiosurf 2,380,62,332,30
train,Auto Assault,527,45,612,22
train,Auto Chess,269,45,239,10
train,Auto Club Revolution,312,53,263,22
train,Automachef,128,23,106,9
train,Automobilista,300,49,255,22
train,Automobilista 2,68,13,62,2
train,Avatar The Game,342,56,291,27
train,Aven Colony,101,19,82,7
train,Avencast: Rise of the Mage,370,58,326,25
train,Avernum 2: Crystal Souls,345,54,296,27
train,Avernum 3: Ruined World,345,54,296,27
train,Avoid: Sensory Overload,345,54,296,27
train,Avorion,233,42,203,10
train,Avowed,124,23,102,4
train,Awesomenauts,382,63,337,15
train,Awkward Dimensions Redux,319,55,270,23
