feature,importance
predicted_tdp,0.3602588176727295
predicted_psu,0.24091599881649017
gpu_directx,0.11137092858552933
ppw,0.06547313183546066
gpu_perf_score,0.031965844333171844
gpu_pixel_rate,0.02635457180440426
performance_margin_proxy,0.02389480732381344
gpu_bandwidth,0.02194453775882721
feature_affinity_distance,0.017637860029935837
gpu_texture_rate,0.017496995627880096
gpu_vram,0.013839427381753922
required_texture_rate,0.013269606977701187
texture_margin,0.012190014123916626
overprovisioning_proxy,0.010701232589781284
pixel_margin,0.009133958257734776
relative_pixel_margin,0.009040480479598045
required_pixel_rate,0.008181706070899963
relative_texture_margin,0.0048437356017529964
required_directx,0.0006433284725062549
vram_margin,0.0003938570152968168
required_vram,0.00038638769183307886
relative_vram_margin,6.283726543188095e-05
required_bandwidth,0.0
mode_recom,0.0
bandwidth_margin,0.0
relative_bandwidth_margin,0.0
